schema	state_id	game	source_trace_artifact	source_trace_sha256	review_step_index	global_step_before	global_step_after	round_index	round_step_index	action_value	action_name	x_before	y_before	z_before	x_after	y_after	z_after	shape_before	color_before	rotation_before	shape_after	color_after	rotation_after	goals_completed_after	goal_count	steps_remaining_after	lives_after	transition_reason	round_completed_after_step	win_after_step	state_after_sha256
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	11	11	12	0	11	1	ACTION1	34	20	0	34	15	0	5	1	0	5	1	0	0	1	31	3	ok	false	false	ad612e03c9d127de08568697c504d7c2b7f47c8e5b30ab40201f8a93fa357c6b
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	12	12	13	0	12	1	ACTION1	34	15	0	34	10	0	5	1	0	5	1	0	1	1	30	3	solved	true	false	745f4f66702b87657c15e896c778a05f44a6f3d22b712e58c24053ef124ad3c6
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	13	13	14	1	0	1	ACTION1	29	40	0	29	35	0	5	1	0	5	1	0	0	1	40	3	ok	false	false	aafd353bb3c5cede30a7cfc9dd656f972de1fb1d85139330d68b5fa828d8cd73
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	14	14	15	1	1	4	ACTION4	29	35	0	34	35	0	5	1	0	5	1	0	0	1	38	3	ok	false	false	02d7dafaa59d94800ed28cdeab64cf4e8a26db6bbaf352d7fbde091591c832b4
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	15	15	16	1	2	1	ACTION1	34	35	0	34	30	0	5	1	0	5	1	0	0	1	36	3	ok	false	false	e026891c09c2626ad8aac8087174ffc7c0aea1247a7979cd8dbb39d59a3534f9
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	16	16	17	1	3	1	ACTION1	34	30	0	34	25	0	5	1	0	5	1	0	0	1	34	3	ok	false	false	ba202fad623a7fe1d1bd4615292cde2a916d920d9b06d8c077ee502361badda6
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	17	17	18	1	4	1	ACTION1	34	25	0	34	20	0	5	1	0	5	1	0	0	1	32	3	ok	false	false	0242f86800d016265c81f893118870fd58550476bba3b8f8cd215abe0195ca6c
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	18	18	19	1	5	1	ACTION1	34	20	0	34	15	0	5	1	0	5	1	0	0	1	30	3	ok	false	false	b350f3c70362e854230a680ebd66521e0ded571003d71ab7ab30bef3df489d6b
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	19	19	20	1	6	1	ACTION1	34	15	0	34	10	0	5	1	0	5	1	0	0	1	28	3	ok	false	false	984a8a3a0fdb40bcf7604a099c2985bcb55a2dae4b10635b29e815a5abd0cbc9
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	20	20	21	1	7	4	ACTION4	34	10	0	39	10	0	5	1	0	5	1	0	0	1	26	3	ok	false	false	ee9cf05c736d72425e05e571616022270797f8c125115fb7342a2770bf1b73b5
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	21	21	22	1	8	4	ACTION4	39	10	0	44	10	0	5	1	0	5	1	0	0	1	24	3	ok	false	false	64510c12b71dc9fdc6f5c73ddb01208cd46744b8f6875be07b7fbfe550b78aca
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	22	22	23	1	9	2	ACTION2	44	10	0	44	15	0	5	1	0	5	1	0	0	1	22	3	ok	false	false	a18687afac695a9cb272a0954c39ec53c3c1d39946c0b1d8121b30956f3fe5d6
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	23	23	24	1	10	4	ACTION4	44	15	0	49	15	0	5	1	0	5	1	0	0	1	20	3	ok	false	false	5b3ac75700bd51425760709d955420307120a0f9cce63d552758c3a19842022f
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	24	24	25	1	11	2	ACTION2	49	15	0	49	20	0	5	1	0	5	1	0	0	1	18	3	ok	false	false	5894cfd8c3fe67ecbaf7a7d4ee0b000b2b43187ba127bf180ee5afebd238434f
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	25	25	26	1	12	2	ACTION2	49	20	0	49	25	0	5	1	0	5	1	0	0	1	16	3	ok	false	false	537a502a790fb6ca6b875c6c5315feeb0e3eced1d00413b228043354662a9c98
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	26	26	27	1	13	2	ACTION2	49	25	0	49	30	0	5	1	0	5	1	0	0	1	14	3	ok	false	false	930c9ce1066c526366afd7b6ea3d4d1d837a786fcae8e4fecbec59318b65369a
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	27	27	28	1	14	2	ACTION2	49	30	0	49	35	0	5	1	0	5	1	0	0	1	12	3	ok	false	false	7a7b4bcdfb3c11fa1f7f7f82d68f5166a2b62e367cd1fed006502ff8997de941
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	28	28	29	1	15	2	ACTION2	49	35	0	49	40	0	5	1	0	5	1	0	0	1	10	3	ok	false	false	771d7291c35799c68cf14d569b0947037da634d33f575658d1c7605ce9faf955
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	29	29	30	1	16	2	ACTION2	49	40	0	49	45	0	5	1	0	5	1	1	0	1	8	3	ok	false	false	fc4a37dcc8b770e053e31831fd1c7031bd092b972f54e8f9e4e0ef9fa525f680
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	30	30	31	1	17	1	ACTION1	49	45	0	49	40	0	5	1	1	5	1	1	0	1	6	3	ok	false	false	f62f53174b9294a2bd563122e5cabe0a6966d47eea187062d555213f5ef6b529
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	31	31	32	1	18	2	ACTION2	49	40	0	49	45	0	5	1	1	5	1	2	0	1	4	3	ok	false	false	f7bfa441ddff365b88be2e34813df62146df227ae5a24ad7b28512b12d03d2e6
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	32	32	33	1	19	3	ACTION3	49	45	0	44	45	0	5	1	2	5	1	2	0	1	2	3	ok	false	false	9d5f68e453e0debfee13593ba76db9a0cc8e7962164bbf85fa352c82ddd6fdfc
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	33	33	34	1	20	2	ACTION2	44	45	0	44	50	0	5	1	2	5	1	2	0	1	0	3	ok	false	false	9042f6e54027471e46e3eb53b8101aa3a2e462d138d24dd2de7e6ab39428329f
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	34	34	35	1	21	3	ACTION3	44	50	0	39	50	0	5	1	2	5	1	2	0	1	42	3	ok	false	false	ab3f843aeaf0884cb61160127ddcf6077c96b51cff52b2465a7081f2e6a29046
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	35	35	36	1	22	4	ACTION4	39	50	0	44	50	0	5	1	2	5	1	2	0	1	40	3	ok	false	false	60fd41d98d3823a51ed83f9efaaddba8e8e55f6b0d9ef97a39745a345e044970
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	36	36	37	1	23	1	ACTION1	44	50	0	44	45	0	5	1	2	5	1	2	0	1	38	3	ok	false	false	cc0fdeb1f15faf48c3d4f6ef1a60bf36119eed75a52c799e1e7f6956a0703689
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	37	37	38	1	24	4	ACTION4	44	45	0	49	45	0	5	1	2	5	1	3	0	1	36	3	ok	false	false	2196234bcc8b46f2110c3217bbd9c86848a5cd5c8a6557fc4920ddda23656773
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	38	38	39	1	25	1	ACTION1	49	45	0	49	40	0	5	1	3	5	1	3	0	1	34	3	ok	false	false	6cd467e533ffdb9c25873c2560d5e632c461a4022b7dbcc4801f646b2efa1c72
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	39	39	40	1	26	1	ACTION1	49	40	0	49	35	0	5	1	3	5	1	3	0	1	32	3	ok	false	false	9464c00abc630597b9425a89659f3599acbf74bbcc0f7da9c93cc08ede04df48
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	40	40	41	1	27	1	ACTION1	49	35	0	49	30	0	5	1	3	5	1	3	0	1	30	3	ok	false	false	5b4247ab8dae4f53a87766ad473041b39d0ccf96ad58d4be7c60437a58934599
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	41	41	42	1	28	1	ACTION1	49	30	0	49	25	0	5	1	3	5	1	3	0	1	28	3	ok	false	false	cbe723dd8a387e64ca8399fe2731ce2a34a9a77af7cebff8d270de001bacac58
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	42	42	43	1	29	1	ACTION1	49	25	0	49	20	0	5	1	3	5	1	3	0	1	26	3	ok	false	false	9ca9481b4b0090af6bc01bf2159585c8add3b20d2a199d5423d97dbc1916c629
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	43	43	44	1	30	1	ACTION1	49	20	0	49	15	0	5	1	3	5	1	3	0	1	24	3	ok	false	false	2554cfcdc8e57238b15f3b1ce4a821752b0749105330ac315110b23508206841
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	44	44	45	1	31	3	ACTION3	49	15	0	44	15	0	5	1	3	5	1	3	0	1	22	3	ok	false	false	9dd8e1f76687413c1b53a00d7180fc8eeb547ad1f4d10a9ded636a45f065e581
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	45	45	46	1	32	1	ACTION1	44	15	0	44	10	0	5	1	3	5	1	3	0	1	20	3	ok	false	false	4bb7c308ecb4df7015cc7a179ddd1fd4fcdc5e82a26da731cfecc4d5225395c6
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	46	46	47	1	33	3	ACTION3	44	10	0	39	10	0	5	1	3	5	1	3	0	1	18	3	ok	false	false	bfd3ccb0b74fbf3a47ca7a4fccf261f55e8bc124cee4421f59441100a3b6c7c8
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	47	47	48	1	34	3	ACTION3	39	10	0	34	10	0	5	1	3	5	1	3	0	1	16	3	ok	false	false	49617e22abf124246a61cd0490c1171d4adbe5ca6bab6bab42f22599e5edc95e
arc_agi3.ls20_source_world_model_simulation_trace_tsv.v001	ls20:full_reset:not_finished:35e4343f-b3f3-4bfa-9dd9-cd018ade915a	ls20	experiments/2026-05-06_arc_agi3_model_decision_v060_ls20_simulation_review_reset/ls20_source_simulation_trace.json	23fcb4f41cce73d2d19df671ce9f55bec5b69aee2a3f2ecf35c526f0411ed31e	48	48	49	1	35	3	ACTION3	34	10	0	29	10	0	5	1	3	5	1	3	0	1	14	3	ok	false	false	03a4fc6e2cac5c3032956a215a2df2002d9676f74619accc49eab22f22711b35
